"Sex","StartColony","ExperimentalUnit","Helper","Breeder","Solitary"
"F","Bennett","Non-Experimental",1,0,0
"F","Crick","13",0,1,0
"F","Crick","Non-Experimental",1,0,0
"F","DaVinci","18",1,1,0
"F","Gemsbok 1","3",0,0,1
"F","Gemsbok 10","2",1,1,1
"F","Gemsbok 10","Non-Experimental",0,1,0
"F","Gemsbok 4","5",0,0,1
"F","Grunenthal","8",0,1,1
"F","Grunenthal","12",1,1,1
"F","Grunenthal","Non-Experimental",1,0,0
"F","Lacey","17",1,1,0
"F","Lonely 2","Non-Experimental",2,0,0
"F","Mandela","9",0,1,1
"F","Mandela","Non-Experimental",1,0,0
"F","Nowak","10",0,1,0
"F","Nowak","Non-Experimental",1,0,0
"F","Tinbergen","14",0,1,1
"F","Tinbergen","Non-Experimental",1,0,0
"F","Watson","19",1,1,0
"F","West","4",1,0,1
"F","Z3T003","Non-Experimental",0,0,1
